epoch 276, train loss 0.8715, test loss 1.043, test acc 0.9186
epoch 277, train loss 0.8704, test loss 1.043, test acc 0.9195
epoch 278, train loss 0.8718, test loss 1.048, test acc 0.9156
epoch 279, train loss 0.8717, test loss 1.04, test acc 0.9198
epoch 280, train loss 0.8718, test loss 1.045, test acc 0.9171
epoch 281, train loss 0.8725, test loss 1.043, test acc 0.9177
epoch 282, train loss 0.8718, test loss 1.042, test acc 0.917
epoch 283, train loss 0.8715, test loss 1.046, test acc 0.9154
epoch 284, train loss 0.8719, test loss 1.041, test acc 0.9196
epoch 285, train loss 0.8717, test loss 1.044, test acc 0.9176
epoch 286, train loss 0.8712, test loss 1.041, test acc 0.9187
epoch 287, train loss 0.8709, test loss 1.036, test acc 0.9202
epoch 288, train loss 0.8715, test loss 1.04, test acc 0.9205
epoch 289, train loss 0.8707, test loss 1.045, test acc 0.9182
epoch 290, train loss 0.8725, test loss 1.042, test acc 0.918
epoch 291, train loss 0.8722, test loss 1.045, test acc 0.9169
epoch 292, train loss 0.8715, test loss 1.039, test acc 0.9218
epoch 293, train loss 0.8719, test loss 1.037, test acc 0.9219
epoch 294, train loss 0.8711, test loss 1.039, test acc 0.9185
epoch 295, train loss 0.8714, test loss 1.041, test acc 0.9209
epoch 296, train loss 0.8714, test loss 1.039, test acc 0.9194
epoch 297, train loss 0.8722, test loss 1.038, test acc 0.9188
epoch 298, train loss 0.8717, test loss 1.043, test acc 0.9177
epoch 299, train loss 0.8711, test loss 1.041, test acc 0.9203
epoch 300, train loss 0.8715, test loss 1.039, test acc 0.9198
epoch 301, train loss 0.8711, test loss 1.041, test acc 0.9181
epoch 302, train loss 0.8711, test loss 1.044, test acc 0.9168
epoch 303, train loss 0.8718, test loss 1.044, test acc 0.9185
epoch 304, train loss 0.8723, test loss 1.041, test acc 0.9202
epoch 305, train loss 0.8708, test loss 1.04, test acc 0.9202
epoch 306, train loss 0.8712, test loss 1.041, test acc 0.9195
epoch 307, train loss 0.8706, test loss 1.039, test acc 0.9216
epoch 308, train loss 0.8707, test loss 1.046, test acc 0.9198
epoch 309, train loss 0.8716, test loss 1.045, test acc 0.9184
epoch 310, train loss 0.8711, test loss 1.042, test acc 0.9188
epoch 311, train loss 0.8709, test loss 1.042, test acc 0.9186
epoch 312, train loss 0.8708, test loss 1.047, test acc 0.9191
epoch 313, train loss 0.8708, test loss 1.043, test acc 0.9188
epoch 314, train loss 0.871, test loss 1.045, test acc 0.9179
epoch 315, train loss 0.8713, test loss 1.043, test acc 0.9188
